Tenant,URL,Floor,Subfloor,Category,Subcategory
Tommy Hilfiger,https://www.malkelapagading.com/directory/tommy-hilfiger,MKG-3,Lantai 1,Shopping,Fashion & Accesories
2nd Floor Barbershop,https://www.malkelapagading.com/directory/2nd-floor-barbershop,Gading Walk,Lantai Dasar,Shopping,Health & Beauty
3MONGKIS,https://www.malkelapagading.com/directory/3mongkis,MKG-3,Lantai 2,Shopping,Fashion & Accesories
7hundredmL,https://www.malkelapagading.com/directory/7hundredml-mall-kelapa-gading,Gading Walk,Lantai Dasar,Shopping,Specialist Shop & Services
A & W,https://www.malkelapagading.com/directory/a-and-w-restaurant,MKG-3,Lantai 3,Dining,F & B Delivery
A Fung Baso Sapi,https://www.malkelapagading.com/directory/a-fung-baso-sapi,MKG-3,Lantai 3,Dining,F & B Delivery
"A. VE, RE. RW",https://www.malkelapagading.com/directory/a-ve-re-rw,MKG-2,Lantai 2,Shopping,Health & Beauty
Adelle Jewellery,https://www.malkelapagading.com/directory/adelle-jewellery,MKG-3,Lantai Dasar,Shopping,Fashion & Accesories
Adidas,https://www.malkelapagading.com/directory/adidas,MKG-3,Lantai Dasar,Shopping,Shop From Home
ALDO,https://www.malkelapagading.com/directory/aldo,MKG-2,Lantai 1,Shopping,Bags & Shoes
Amarissa,https://www.malkelapagading.com/directory/amarisa,MKG-2,Lantai Dasar,Shopping,Health & Beauty
Aneka Citra Snack,https://www.malkelapagading.com/directory/aneka-citra-snack,MKG-1,Lantai Dasar,Dining,F & B Delivery
AntarArtha Benua,https://www.malkelapagading.com/directory/antarartha-benua,MKG-1,Lantai Dasar,Shopping,Specialist Shop & Services
Arena,https://www.malkelapagading.com/directory/arena-gadget,MKG-2,Lantai 2,Shopping,"Electronics, IT, Gadgets"
Arena,https://www.malkelapagading.com/directory/arena,MKG-2,Lantai Dasar,Shopping,Sports & Lifestyle
ARTLAND,https://www.malkelapagading.com/directory/artland,Gading Walk,Lantai Dasar,Shopping,Specialist Shop & Services
ASICS,https://www.malkelapagading.com/directory/asics,MKG-2,Lantai Dasar,Shopping,Sports & Lifestyle
ATM BCA,https://www.malkelapagading.com/directory/atm-bca,MKG-1,Lantai Dasar,Shopping,Specialist Shop & Services
ATM Center 01,https://www.malkelapagading.com/directory/atm-center-01,MKG-3,Lantai Dasar,Shopping,Specialist Shop & Services
ATM Center 02,https://www.malkelapagading.com/directory/atm-center,MKG-3,Lantai 1,Shopping,Specialist Shop & Services
Auntie Anne`s,https://www.malkelapagading.com/directory/auntie-annes,MKG-1,Lantai Dasar,Dining,F & B Delivery
